"Duration (ms)","Start date","End date","Start station number","Start station","End station number","End station","Bike number","Member type"
483989,"2017-07-01 00:11:38","2017-07-01 00:19:42",31111,"10th & U St NW",31266,"11th & M St NW",W21982,Member
1140417,"2017-07-01 00:12:00","2017-07-01 00:31:01",31258,"Lincoln Memorial",31238,"14th & G St NW",W21616,Casual
1147383,"2017-07-01 00:12:05","2017-07-01 00:31:12",31258,"Lincoln Memorial",31238,"14th & G St NW",W22170,Casual
1048642,"2017-07-01 00:12:19","2017-07-01 00:29:47",31228,"8th & H St NW",31103,"16th & Harvard St NW",W20192,Member
428708,"2017-07-01 00:12:47","2017-07-01 00:19:55",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE",31622,"13th & D St NE",W22010,Member
674064,"2017-07-01 00:12:48","2017-07-01 00:24:02",31623,"Columbus Circle / Union Station",31607,"14th & D St SE",W23375,Member
744015,"2017-07-01 00:13:01","2017-07-01 00:25:25",31200,"Massachusetts Ave & Dupont Circle NW",31103,"16th & Harvard St NW",W21581,Member
304007,"2017-07-01 00:13:42","2017-07-01 00:18:46",31024,"Virginia Square Metro / N Monroe St & 9th St N",31035,"N Quincy St & Glebe Rd",W00699,Member
619030,"2017-07-01 00:13:45","2017-07-01 00:24:04",31214,"17th & Corcoran St NW",31111,"10th & U St NW",W22437,Member
1329009,"2017-07-01 00:13:47","2017-07-01 00:35:56",31109,"7th & T St NW",31634,"3rd & Tingey St SE",W20927,Casual
242489,"2017-07-01 00:13:57","2017-07-01 00:17:59",31229,"New Hampshire Ave & T St NW",31200,"Massachusetts Ave & Dupont Circle NW",W22169,Member
1687360,"2017-07-01 00:14:11","2017-07-01 00:42:18",31295,"Potomac & M St NW",31266,"11th & M St NW",W00506,Member
383234,"2017-07-01 00:14:44","2017-07-01 00:21:07",31223,"Convention Center / 7th & M St NW",31268,"12th & U St NW",W20681,Member
384102,"2017-07-01 00:15:12","2017-07-01 00:21:36",31126,"11th & Girard St NW",31122,"16th & Irving St NW",W22746,Member
826107,"2017-07-01 00:15:25","2017-07-01 00:29:11",31245,"7th & R St NW / Shaw Library",31513,"Rhode Island Ave & V St NE",W01235,Member
226783,"2017-07-01 00:15:26","2017-07-01 00:19:13",31266,"11th & M St NW",31241,"Thomas Circle",W21551,Member
2423439,"2017-07-01 00:15:31","2017-07-01 00:55:55",31217,"USDA / 12th & Independence Ave SW",31258,"Lincoln Memorial",W20174,Casual
2381500,"2017-07-01 00:15:49","2017-07-01 00:55:30",31217,"USDA / 12th & Independence Ave SW",31258,"Lincoln Memorial",W20034,Casual
506101,"2017-07-01 00:15:59","2017-07-01 00:24:25",31124,"14th & Irving St NW",31101,"14th & V St NW",W21208,Member
432800,"2017-07-01 00:16:04","2017-07-01 00:23:17",31214,"17th & Corcoran St NW",31111,"10th & U St NW",W22244,Member
227522,"2017-07-01 00:16:11","2017-07-01 00:19:59",31278,"18th & R St NW",31114,"18th St & Wyoming Ave NW",W22492,Member
671851,"2017-07-01 00:16:33","2017-07-01 00:27:44",31213,"17th & K St NW",31201,"15th & P St NW",W23156,Member
3496713,"2017-07-01 00:17:02","2017-07-01 01:15:19",31217,"USDA / 12th & Independence Ave SW",31217,"USDA / 12th & Independence Ave SW",W22957,Casual
601328,"2017-07-01 00:17:27","2017-07-01 00:27:28",31304,"36th & Calvert St NW / Glover Park",31255,"24th & N St NW",W00656,Member
509242,"2017-07-01 00:17:48","2017-07-01 00:26:17",31638,"1st & H St NW",31251,"12th & L St NW",W20553,Member
747705,"2017-07-01 00:18:00","2017-07-01 00:30:28",31240,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",W00227,Casual
279646,"2017-07-01 00:18:26","2017-07-01 00:23:06",31124,"14th & Irving St NW",31115,"Columbia Rd & Georgia Ave NW",W22452,Member
275500,"2017-07-01 00:18:56","2017-07-01 00:23:31",31229,"New Hampshire Ave & T St NW",31101,"14th & V St NW",W20876,Member
158922,"2017-07-01 00:18:58","2017-07-01 00:21:37",31516,"Rhode Island Ave Metro",31516,"Rhode Island Ave Metro",W23050,Member
672366,"2017-07-01 00:19:12","2017-07-01 00:30:25",31240,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",W21733,Casual
823855,"2017-07-01 00:19:16","2017-07-01 00:33:00",31286,"11th & O St NW",31602,"Park Rd & Holmead Pl NW",W21405,Casual
1455803,"2017-07-01 00:19:46","2017-07-01 00:44:01",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31271,"Constitution Ave & 2nd St NW/DOL",W23323,Member
509055,"2017-07-01 00:20:01","2017-07-01 00:28:30",31268,"12th & U St NW",31241,"Thomas Circle",W22955,Casual
1430845,"2017-07-01 00:20:10","2017-07-01 00:44:01",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31271,"Constitution Ave & 2nd St NW/DOL",W21356,Member
224103,"2017-07-01 00:20:16","2017-07-01 00:24:00",31281,"8th & O St NW",31600,"5th & K St NW",W23170,Member
1112476,"2017-07-01 00:20:19","2017-07-01 00:38:52",31500,"4th & W St NE",31632,"15th & F St NE",W22500,Member
500445,"2017-07-01 00:20:54","2017-07-01 00:29:15",31124,"14th & Irving St NW",31401,"14th St & Spring Rd NW",W21914,Member
973580,"2017-07-01 00:21:10","2017-07-01 00:37:24",31246,"M St & Pennsylvania Ave NW",31237,"25th St & Pennsylvania Ave NW",W20129,Member
532294,"2017-07-01 00:21:25","2017-07-01 00:30:17",31240,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",W22059,Casual
430249,"2017-07-01 00:22:28","2017-07-01 00:29:38",31600,"5th & K St NW",31262,"11th & F St NW",W21739,Member
433228,"2017-07-01 00:22:31","2017-07-01 00:29:44",31600,"5th & K St NW",31262,"11th & F St NW",W00239,Member
1035085,"2017-07-01 00:22:43","2017-07-01 00:39:58",31234,"20th & O St NW / Dupont South",31212,"21st & M St NW",W23399,Member
1285083,"2017-07-01 00:22:51","2017-07-01 00:44:16",31228,"8th & H St NW",31236,"37th & O St NW / Georgetown University",W20922,Member
4043034,"2017-07-01 00:23:07","2017-07-01 01:30:30",32025,"Carroll & Westmoreland Ave",31200,"Massachusetts Ave & Dupont Circle NW",W00885,Casual
648689,"2017-07-01 00:23:19","2017-07-01 00:34:08",31244,"4th & E St SW",31228,"8th & H St NW",W01217,Member
3965081,"2017-07-01 00:23:27","2017-07-01 01:29:32",31119,"14th & Belmont St NW",31119,"14th & Belmont St NW",W23260,Casual
3945087,"2017-07-01 00:23:33","2017-07-01 01:29:18",31119,"14th & Belmont St NW",31119,"14th & Belmont St NW",W00498,Casual
866112,"2017-07-01 00:23:36","2017-07-01 00:38:02",31634,"3rd & Tingey St SE",31615,"6th & H St NE",W00642,Member
876867,"2017-07-01 00:23:48","2017-07-01 00:38:25",31296,"Columbia & Ontario Rd NW",31239,"Rhode Island & Connecticut Ave NW",W00914,Member
406606,"2017-07-01 00:23:50","2017-07-01 00:30:37",31107,"Lamont & Mt Pleasant NW",31602,"Park Rd & Holmead Pl NW",W20844,Member
674408,"2017-07-01 00:24:53","2017-07-01 00:36:08",31229,"New Hampshire Ave & T St NW",31118,"3rd & Elm St NW",W22936,Member
673480,"2017-07-01 00:25:03","2017-07-01 00:36:16",31109,"7th & T St NW",31245,"7th & R St NW / Shaw Library",W00608,Member
3933679,"2017-07-01 00:25:41","2017-07-01 01:31:15",32025,"Carroll & Westmoreland Ave",31200,"Massachusetts Ave & Dupont Circle NW",W22569,Casual
499556,"2017-07-01 00:25:46","2017-07-01 00:34:06",31119,"14th & Belmont St NW",31229,"New Hampshire Ave & T St NW",W23085,Member
974163,"2017-07-01 00:25:52","2017-07-01 00:42:06",31103,"16th & Harvard St NW",31403,"5th & Kennedy St NW",W21581,Member
449193,"2017-07-01 00:25:53","2017-07-01 00:33:23",31109,"7th & T St NW",31245,"7th & R St NW / Shaw Library",W22069,Casual
721547,"2017-07-01 00:26:21","2017-07-01 00:38:23",31296,"Columbia & Ontario Rd NW",31239,"Rhode Island & Connecticut Ave NW",W21818,Casual
1423385,"2017-07-01 00:27:33","2017-07-01 00:51:16",31603,"1st & M St NE",31628,"1st & K St SE",W22643,Member
910149,"2017-07-01 00:27:43","2017-07-01 00:42:53",31257,"22nd & I St NW / Foggy Bottom",31113,"Columbia Rd & Belmont St NW",W20579,Member
455248,"2017-07-01 00:27:53","2017-07-01 00:35:28",31202,"14th & R St NW",31299,"Connecticut Ave & R St NW",W21817,Member
1003756,"2017-07-01 00:28:02","2017-07-01 00:44:46",31211,"Kennedy Center",31295,"Potomac & M St NW",W01477,Casual
368017,"2017-07-01 00:28:15","2017-07-01 00:34:23",31119,"14th & Belmont St NW",31229,"New Hampshire Ave & T St NW",W00464,Casual
741652,"2017-07-01 00:28:26","2017-07-01 00:40:47",31104,"Adams Mill & Columbia Rd NW",31307,"3000 Connecticut Ave NW / National Zoo",W00383,Casual
985158,"2017-07-01 00:28:32","2017-07-01 00:44:57",31211,"Kennedy Center",31295,"Potomac & M St NW",W23261,Casual
1231762,"2017-07-01 00:28:41","2017-07-01 00:49:12",31109,"7th & T St NW",31617,"Bladensburg Rd & Benning Rd NE",W20624,Member
1567762,"2017-07-01 00:28:47","2017-07-01 00:54:55",31245,"7th & R St NW / Shaw Library",31618,"4th & East Capitol St NE",W20443,Member
623713,"2017-07-01 00:28:48","2017-07-01 00:39:12",31114,"18th St & Wyoming Ave NW",31241,"Thomas Circle",W00047,Member
707803,"2017-07-01 00:28:54","2017-07-01 00:40:42",31104,"Adams Mill & Columbia Rd NW",31307,"3000 Connecticut Ave NW / National Zoo",W22672,Casual
1193461,"2017-07-01 00:29:04","2017-07-01 00:48:58",31319,"Wisconsin Ave & Brandywine St NW",31234,"20th & O St NW / Dupont South",W00496,Member
997696,"2017-07-01 00:29:28","2017-07-01 00:46:06",31124,"14th & Irving St NW",31107,"Lamont & Mt Pleasant NW",W01418,Member
701537,"2017-07-01 00:29:30","2017-07-01 00:41:11",31124,"14th & Irving St NW",31109,"7th & T St NW",W20737,Member
455232,"2017-07-01 00:29:55","2017-07-01 00:37:30",31601,"19th & East Capitol St SE",31601,"19th & East Capitol St SE",W22568,Member
883955,"2017-07-01 00:29:56","2017-07-01 00:44:40",31211,"Kennedy Center",31295,"Potomac & M St NW",W21505,Casual
1205739,"2017-07-01 00:30:07","2017-07-01 00:50:13",31109,"7th & T St NW",31276,"15th & L St NW",W00912,Casual
2790541,"2017-07-01 00:30:17","2017-07-01 01:16:48",31211,"Kennedy Center",31294,"7th & E St SW",W20378,Member
1341799,"2017-07-01 00:30:20","2017-07-01 00:52:42",31245,"7th & R St NW / Shaw Library",31254,"15th & K St NW",W01208,Casual
640117,"2017-07-01 00:30:25","2017-07-01 00:41:05",31201,"15th & P St NW",31600,"5th & K St NW",W23104,Member
2774095,"2017-07-01 00:30:30","2017-07-01 01:16:45",31211,"Kennedy Center",31294,"7th & E St SW",W22127,Member
907604,"2017-07-01 00:30:33","2017-07-01 00:45:41",31228,"8th & H St NW",31285,"22nd & P ST NW",W21643,Member
258854,"2017-07-01 00:30:55","2017-07-01 00:35:14",31404,"9th & Upshur St NW",31406,"14th & Upshur St NW",W23315,Member
1482138,"2017-07-01 00:31:43","2017-07-01 00:56:26",31105,"14th & Harvard St NW",31254,"15th & K St NW",W00267,Member
624502,"2017-07-01 00:31:48","2017-07-01 00:42:13",31605,"3rd & D St SE",31612,"D St & Maryland Ave NE",W22126,Casual
440517,"2017-07-01 00:32:09","2017-07-01 00:39:30",31106,"Calvert & Biltmore St NW",31114,"18th St & Wyoming Ave NW",W22114,Member
395685,"2017-07-01 00:32:26","2017-07-01 00:39:02",31104,"Adams Mill & Columbia Rd NW",31121,"Calvert St & Woodley Pl NW",W23151,Casual
896277,"2017-07-01 00:32:30","2017-07-01 00:47:26",31314,"34th & Water St NW",31110,"20th St & Florida Ave NW",W22507,Member
1113383,"2017-07-01 00:32:35","2017-07-01 00:51:08",31201,"15th & P St NW",31228,"8th & H St NW",W22619,Member
436096,"2017-07-01 00:32:41","2017-07-01 00:39:57",31106,"Calvert & Biltmore St NW",31114,"18th St & Wyoming Ave NW",W23371,Member
1114674,"2017-07-01 00:32:54","2017-07-01 00:51:28",31201,"15th & P St NW",31228,"8th & H St NW",W20644,Member
335224,"2017-07-01 00:33:18","2017-07-01 00:38:53",31267,"17th St & Massachusetts Ave NW",31286,"11th & O St NW",W20008,Member
354669,"2017-07-01 00:33:24","2017-07-01 00:39:19",31262,"11th & F St NW",31600,"5th & K St NW",W21739,Member
321275,"2017-07-01 00:33:28","2017-07-01 00:38:50",31104,"Adams Mill & Columbia Rd NW",31121,"Calvert St & Woodley Pl NW",W22999,Casual
1121243,"2017-07-01 00:33:58","2017-07-01 00:52:39",31245,"7th & R St NW / Shaw Library",31254,"15th & K St NW",W23073,Casual
836132,"2017-07-01 00:34:24","2017-07-01 00:48:21",31106,"Calvert & Biltmore St NW",31602,"Park Rd & Holmead Pl NW",W22935,Casual
265424,"2017-07-01 00:34:29","2017-07-01 00:38:54",31103,"16th & Harvard St NW",31126,"11th & Girard St NW",W21433,Member
199260,"2017-07-01 00:35:24","2017-07-01 00:38:44",31515,"Fort Totten Metro",31412,"3rd St & Riggs Rd NE",W20626,Member
695940,"2017-07-01 00:35:44","2017-07-01 00:47:20",31296,"Columbia & Ontario Rd NW",31107,"Lamont & Mt Pleasant NW",W00097,Member
951196,"2017-07-01 00:36:30","2017-07-01 00:52:21",31245,"7th & R St NW / Shaw Library",31254,"15th & K St NW",W00608,Member
1116834,"2017-07-01 00:36:30","2017-07-01 00:55:07",31296,"Columbia & Ontario Rd NW",31519,"1st & O St NW",W01386,Casual
510512,"2017-07-01 00:36:33","2017-07-01 00:45:04",31518,"New York Ave & Hecht Ave NE",31508,"Gallaudet / 8th St & Florida Ave NE",W00453,Member
2978318,"2017-07-01 00:36:34","2017-07-01 01:26:12",31258,"Lincoln Memorial",31258,"Lincoln Memorial",W23210,Casual
2918362,"2017-07-01 00:37:08","2017-07-01 01:25:46",31258,"Lincoln Memorial",31258,"Lincoln Memorial",W22591,Casual
1489885,"2017-07-01 00:37:23","2017-07-01 01:02:12",31260,"23rd & E St NW ",31247,"Jefferson Dr & 14th St SW",W20934,Casual
1466171,"2017-07-01 00:37:48","2017-07-01 01:02:15",31260,"23rd & E St NW ",31247,"Jefferson Dr & 14th St SW",W20042,Casual
510038,"2017-07-01 00:37:52","2017-07-01 00:46:22",31223,"Convention Center / 7th & M St NW",31268,"12th & U St NW",W21801,Member
336587,"2017-07-01 00:38:00","2017-07-01 00:43:36",31116,"California St & Florida Ave NW",31110,"20th St & Florida Ave NW",W21079,Member
312604,"2017-07-01 00:38:09","2017-07-01 00:43:22",31116,"California St & Florida Ave NW",31110,"20th St & Florida Ave NW",W22844,Member
661668,"2017-07-01 00:38:25","2017-07-01 00:49:26",31295,"Potomac & M St NW",31214,"17th & Corcoran St NW",W22761,Member
395605,"2017-07-01 00:38:31","2017-07-01 00:45:06",31408,"Takoma Metro",32026,"Carroll & Ethan Allen Ave",W22582,Casual
1035907,"2017-07-01 00:38:48","2017-07-01 00:56:04",31245,"7th & R St NW / Shaw Library",31254,"15th & K St NW",W22069,Casual
551513,"2017-07-01 00:39:43","2017-07-01 00:48:54",31214,"17th & Corcoran St NW",31117,"15th & Euclid St  NW",W23020,Member
157390,"2017-07-01 00:40:00","2017-07-01 00:42:37",31255,"24th & N St NW",31212,"21st & M St NW",W00656,Member
705215,"2017-07-01 00:40:50","2017-07-01 00:52:36",31509,"New Jersey Ave & R St NW",31645,"6th & K St NE",W22430,Member
1032455,"2017-07-01 00:40:54","2017-07-01 00:58:06",31101,"14th & V St NW",31615,"6th & H St NE",W22416,Member
467169,"2017-07-01 00:42:14","2017-07-01 00:50:01",31044,"King St & Patrick St",31048,"King St Metro South",W21423,Casual
1420760,"2017-07-01 00:42:45","2017-07-01 01:06:26",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31290,"17th St & Independence Ave SW",W22373,Casual
1383439,"2017-07-01 00:43:30","2017-07-01 01:06:34",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31290,"17th St & Independence Ave SW",W22059,Casual
1319733,"2017-07-01 00:44:12","2017-07-01 01:06:11",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31290,"17th St & Independence Ave SW",W21733,Casual
150023,"2017-07-01 00:44:27","2017-07-01 00:46:57",32019,"East West Hwy & Blair Mill Rd",32006,"13th St & Eastern Ave",W22832,Member
351721,"2017-07-01 00:44:39","2017-07-01 00:50:30",31203,"14th & Rhode Island Ave NW",31223,"Convention Center / 7th & M St NW",W00875,Member
264528,"2017-07-01 00:45:06","2017-07-01 00:49:31",31048,"King St Metro South",31084,"Ballenger Ave & Dulaney St",W22647,Member
749474,"2017-07-01 00:45:42","2017-07-01 00:58:11",31271,"Constitution Ave & 2nd St NW/DOL",31622,"13th & D St NE",W23323,Member
754468,"2017-07-01 00:45:54","2017-07-01 00:58:28",31271,"Constitution Ave & 2nd St NW/DOL",31622,"13th & D St NE",W21356,Member
154601,"2017-07-01 00:46:05","2017-07-01 00:48:39",31201,"15th & P St NW",31214,"17th & Corcoran St NW",W21396,Member
676557,"2017-07-01 00:46:10","2017-07-01 00:57:27",31405,"Georgia Ave & Emerson St NW",31107,"Lamont & Mt Pleasant NW",W22789,Member
380697,"2017-07-01 00:46:47","2017-07-01 00:53:08",31606,"Potomac & Pennsylvania Ave SE",31610,"Eastern Market / 7th & North Carolina Ave SE",W23299,Member
1408325,"2017-07-01 00:47:38","2017-07-01 01:11:06",31282,"16th & R St NW",31277,"17th & G St NW",W23204,Casual
645836,"2017-07-01 00:48:10","2017-07-01 00:58:55",31116,"California St & Florida Ave NW",31109,"7th & T St NW",W23353,Member
639701,"2017-07-01 00:50:11","2017-07-01 01:00:50",31239,"Rhode Island & Connecticut Ave NW",31519,"1st & O St NW",W01156,Casual
637805,"2017-07-01 00:50:17","2017-07-01 01:00:55",31239,"Rhode Island & Connecticut Ave NW",31519,"1st & O St NW",W00914,Casual
1285771,"2017-07-01 00:50:21","2017-07-01 01:11:47",31634,"3rd & Tingey St SE",31209,"1st & N St  SE",W20805,Casual
1321004,"2017-07-01 00:50:21","2017-07-01 01:12:22",31634,"3rd & Tingey St SE",31209,"1st & N St  SE",W20927,Casual
368894,"2017-07-01 00:50:32","2017-07-01 00:56:41",31126,"11th & Girard St NW",31401,"14th St & Spring Rd NW",W20573,Member
832023,"2017-07-01 00:50:34","2017-07-01 01:04:26",31508,"Gallaudet / 8th St & Florida Ave NE",31278,"18th & R St NW",W00453,Member
866680,"2017-07-01 00:51:40","2017-07-01 01:06:06",31202,"14th & R St NW",31110,"20th St & Florida Ave NW",W01002,Member
1471133,"2017-07-01 00:51:48","2017-07-01 01:16:19",31228,"8th & H St NW",31208,"M St & New Jersey Ave SE",W22619,Member
1510623,"2017-07-01 00:52:09","2017-07-01 01:17:19",31276,"15th & L St NW",31321,"15th St & Constitution Ave NW",W00639,Casual
1533983,"2017-07-01 00:52:16","2017-07-01 01:17:50",31228,"8th & H St NW",31634,"3rd & Tingey St SE",W20644,Member
417759,"2017-07-01 00:52:29","2017-07-01 00:59:27",31296,"Columbia & Ontario Rd NW",31107,"Lamont & Mt Pleasant NW",W20368,Member
689345,"2017-07-01 00:53:02","2017-07-01 01:04:32",31254,"15th & K St NW",31254,"15th & K St NW",W23073,Casual
1503096,"2017-07-01 00:53:32","2017-07-01 01:18:35",31303,"Tenleytown / Wisconsin Ave & Albemarle St NW",31101,"14th & V St NW",W01260,Casual
1118333,"2017-07-01 00:53:33","2017-07-01 01:12:12",31518,"New York Ave & Hecht Ave NE",31229,"New Hampshire Ave & T St NW",W20128,Member
247544,"2017-07-01 00:53:47","2017-07-01 00:57:54",31254,"15th & K St NW",31254,"15th & K St NW",W01208,Casual
243636,"2017-07-01 00:54:02","2017-07-01 00:58:06",31504,"10th & Monroe St NE",31521,"18th & Monroe St NE",W00861,Member
2194419,"2017-07-01 00:54:15","2017-07-01 01:30:49",31611,"13th & H St NE",31611,"13th & H St NE",W23231,Casual
564723,"2017-07-01 00:54:17","2017-07-01 01:03:42",31237,"25th St & Pennsylvania Ave NW",31116,"California St & Florida Ave NW",W21567,Member
1780624,"2017-07-01 00:54:41","2017-07-01 01:24:22",31602,"Park Rd & Holmead Pl NW",31014,"Lynn & 19th St North",W20844,Member
2170803,"2017-07-01 00:54:52","2017-07-01 01:31:02",31611,"13th & H St NE",31611,"13th & H St NE",W22917,Casual
691405,"2017-07-01 00:56:00","2017-07-01 01:07:32",31519,"1st & O St NW",31109,"7th & T St NW",W20979,Casual
657491,"2017-07-01 00:56:30","2017-07-01 01:07:28",31519,"1st & O St NW",31109,"7th & T St NW",W22928,Member
637003,"2017-07-01 00:57:30","2017-07-01 01:08:07",31203,"14th & Rhode Island Ave NW",31103,"16th & Harvard St NW",W22455,Casual
1239601,"2017-07-01 00:57:38","2017-07-01 01:18:17",31239,"Rhode Island & Connecticut Ave NW",31603,"1st & M St NE",W22566,Member
308489,"2017-07-01 00:59:11","2017-07-01 01:04:19",31207,"Georgia Ave and Fairmont St NW",31109,"7th & T St NW",W20294,Member
974219,"2017-07-01 00:59:20","2017-07-01 01:15:35",31239,"Rhode Island & Connecticut Ave NW",31265,"5th St & Massachusetts Ave NW",W21818,Casual
278086,"2017-07-01 00:59:40","2017-07-01 01:04:18",31286,"11th & O St NW",31203,"14th & Rhode Island Ave NW",W00317,Member
1670288,"2017-07-01 01:00:04","2017-07-01 01:27:54",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",W23196,Casual
1637966,"2017-07-01 01:00:17","2017-07-01 01:27:35",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",W21474,Casual
302702,"2017-07-01 01:00:23","2017-07-01 01:05:26",31278,"18th & R St NW",31114,"18th St & Wyoming Ave NW",W22070,Member
839799,"2017-07-01 01:00:37","2017-07-01 01:14:37",31608,"8th & Eye St SE / Barracks Row",31626,"15th St & Massachusetts Ave SE",W22989,Member
401152,"2017-07-01 01:01:13","2017-07-01 01:07:54",31111,"10th & U St NW",31506,"1st & Rhode Island Ave NW",W20523,Member
525257,"2017-07-01 01:01:23","2017-07-01 01:10:08",31623,"Columbus Circle / Union Station",31269,"3rd St & Pennsylvania Ave SE",W01083,Member
